date,avalanche,dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2006-10-01,0,1159660800,2006-10-01 00:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.08,,274.46,277.08,271.78,281.48,1018.0,,,83.0,1.01,226.0,,0.44,,,,98.0,500.0,Rain,light rain,10n
2006-10-01,0,1159664400,2006-10-01 01:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.96,,275.16,276.96,271.55,281.41,1019.0,,,88.0,1.03,218.0,,0.5,,,,94.0,500.0,Rain,light rain,10n
2006-10-01,0,1159668000,2006-10-01 02:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.57,,275.09,276.57,271.07,281.1,1018.0,,,90.0,1.08,239.0,,0.21,,,,97.0,500.0,Rain,light rain,10n
2006-10-01,0,1159671600,2006-10-01 03:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.56,,274.92,276.56,271.12,281.08,1018.0,,,89.0,1.22,241.0,,0.19,,,,96.0,500.0,Rain,light rain,10n
2006-10-01,0,1159675200,2006-10-01 04:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.46,,275.59,276.46,270.95,281.01,1018.0,,,94.0,1.17,254.0,,0.18,,,,91.0,500.0,Rain,light rain,10n
2006-10-01,0,1159678800,2006-10-01 05:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.43,,275.71,276.43,270.93,280.93,1018.0,,,95.0,1.01,233.0,,0.17,,,,99.0,500.0,Rain,light rain,10n
2006-10-01,0,1159682400,2006-10-01 06:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.47,,275.6,276.47,271.03,280.92,1019.0,,,94.0,1.09,243.0,,,,,,99.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159686000,2006-10-01 07:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,276.75,,275.88,276.75,271.52,281.24,1019.0,,,94.0,1.12,233.0,,,,,,100.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159689600,2006-10-01 08:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.04,,275.86,276.03,272.02,281.38,1019.0,,,92.0,1.36,229.0,,,,,,100.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159693200,2006-10-01 09:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.37,,276.34,276.01,272.38,281.74,1019.0,,,93.0,1.65,223.0,,,,,,99.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159696800,2006-10-01 10:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,278.82,,275.65,277.64,273.85,282.72,1019.0,,,80.0,1.68,218.0,,,,,,100.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159700400,2006-10-01 11:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,279.13,,275.77,277.88,274.26,282.88,1019.0,,,79.0,1.79,212.0,,,,,,100.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159704000,2006-10-01 12:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,279.47,,275.37,278.3,274.23,283.12,1018.0,,,75.0,1.76,213.0,,,,,,100.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159707600,2006-10-01 13:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,279.94,,275.25,279.01,274.74,283.65,1018.0,,,72.0,1.61,216.0,,,,,,100.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159711200,2006-10-01 14:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,279.8,,275.31,278.34,274.61,283.55,1017.0,,,73.0,2.11,224.0,,,,,,99.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159714800,2006-10-01 15:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,279.59,,274.92,278.21,274.39,283.5,1017.0,,,72.0,1.99,229.0,,,,,,98.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159718400,2006-10-01 16:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,279.35,,274.88,279.35,274.23,283.37,1017.0,,,73.0,1.2,228.0,,,,,,88.0,804.0,Clouds,overcast clouds,04d
2006-10-01,0,1159722000,2006-10-01 17:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,278.67,,275.67,278.67,273.53,282.76,1018.0,,,81.0,0.76,227.0,,,,,,84.0,803.0,Clouds,broken clouds,04d
2006-10-01,0,1159725600,2006-10-01 18:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,278.49,,274.61,278.49,273.2,282.74,1018.0,,,76.0,0.81,255.0,,,,,,91.0,804.0,Clouds,overcast clouds,04n
2006-10-01,0,1159729200,2006-10-01 19:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.89,,275.08,277.89,272.65,282.25,1019.0,,,82.0,1.02,269.0,,,,,,85.0,804.0,Clouds,overcast clouds,04n
2006-10-01,0,1159732800,2006-10-01 20:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.28,,275.31,277.28,271.95,281.81,1019.0,,,87.0,1.14,270.0,,,,,,93.0,804.0,Clouds,overcast clouds,04n
2006-10-01,0,1159736400,2006-10-01 21:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.09,,275.29,277.09,271.73,281.72,1019.0,,,88.0,0.94,263.0,,,,,,97.0,804.0,Clouds,overcast clouds,04n
2006-10-01,0,1159740000,2006-10-01 22:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.39,,275.42,277.39,271.99,281.94,1019.0,,,87.0,1.27,279.0,,,,,,96.0,804.0,Clouds,overcast clouds,04n
2006-10-01,0,1159743600,2006-10-01 23:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.34,,275.53,277.34,271.89,281.89,1019.0,,,88.0,1.31,278.0,,,,,,91.0,804.0,Clouds,overcast clouds,04n
2006-10-02,0,1159747200,2006-10-02 00:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.1,,275.45,275.97,271.72,281.65,1019.0,,,89.0,1.45,271.0,,,,,,94.0,804.0,Clouds,overcast clouds,04n
2006-10-02,0,1159750800,2006-10-02 01:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.08,,275.75,277.08,271.64,281.68,1019.0,,,91.0,1.04,269.0,,,,,,83.0,803.0,Clouds,broken clouds,04n
2006-10-02,0,1159754400,2006-10-02 02:00:00 +0000 UTC,7200.0,Dent Parrachee,45.291944,6.756111,277.19,,276.01,277.19,271.76,281.78,1019.0,,,92.0,0.98,269.0,,,,,,90.0,804.0,Clouds,overcast clouds,04n
