date,avalanche,dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2005-10-01,0,1128124800,2005-10-01 00:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,268.78,,267.15,268.78,264.86,269.02,1021.0,,,87.0,1.07,291.0,,,,,,0.0,800.0,Clear,sky is clear,01n
2005-10-01,0,1128128400,2005-10-01 01:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,268.16,,267.19,268.16,265.06,268.42,1020.0,,,92.0,1.17,281.0,,,,,,0.0,800.0,Clear,sky is clear,01n
2005-10-01,0,1128132000,2005-10-01 02:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,267.85,,267.13,265.43,264.46,268.12,1020.0,,,94.0,1.46,275.0,,,,,,0.0,800.0,Clear,sky is clear,01n
2005-10-01,0,1128135600,2005-10-01 03:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,267.75,,267.15,264.95,264.06,268.12,1020.0,,,95.0,1.66,277.0,,,,,,7.0,800.0,Clear,sky is clear,01n
2005-10-01,0,1128139200,2005-10-01 04:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,267.83,,267.23,264.76,263.56,268.22,1020.0,,,95.0,1.83,280.0,,,,,,27.0,802.0,Clouds,scattered clouds,03n
2005-10-01,0,1128142800,2005-10-01 05:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,267.91,,267.07,264.64,264.46,268.32,1019.0,,,93.0,1.97,281.0,,,,,,17.0,801.0,Clouds,few clouds,02n
2005-10-01,0,1128146400,2005-10-01 06:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,268.14,,267.17,265.85,265.46,268.32,1019.0,,,92.0,1.41,283.0,,,,,,23.0,801.0,Clouds,few clouds,02d
2005-10-01,0,1128150000,2005-10-01 07:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,267.97,,265.95,265.15,267.8,268.12,1019.0,,,84.0,1.69,284.0,,,,,,44.0,802.0,Clouds,scattered clouds,03d
2005-10-01,0,1128153600,2005-10-01 08:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,279.15,,275.43,279.15,273.63,283.71,1019.0,,,77.0,1.33,286.0,,,,,,76.0,803.0,Clouds,broken clouds,04d
2005-10-01,0,1128157200,2005-10-01 09:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,281.24,,276.5,280.68,274.97,285.85,1019.0,,,72.0,1.45,285.0,,,,,,64.0,803.0,Clouds,broken clouds,04d
2005-10-01,0,1128160800,2005-10-01 10:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,283.35,,276.85,282.1,278.07,287.62,1018.0,,,64.0,1.34,294.0,,,,,,29.0,802.0,Clouds,scattered clouds,03d
