date,avalanche,dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2011-10-01,0,1317427200,2011-10-01 00:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,277.13,,275.64,277.13,270.66,282.27,1029.0,,,90.0,1.31,80.0,,,,,,8.0,800.0,Clear,sky is clear,01n
2011-10-01,0,1317430800,2011-10-01 01:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,277.0,,275.2,277.0,270.16,282.19,1029.0,,,88.0,1.3,79.0,,,,,,64.0,803.0,Clouds,broken clouds,04n
2011-10-01,0,1317434400,2011-10-01 02:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,276.85,,275.21,275.77,269.66,282.0,1029.0,,,89.0,1.39,74.0,,,,,,63.0,803.0,Clouds,broken clouds,04n
2011-10-01,0,1317438000,2011-10-01 03:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,276.81,,275.17,275.73,269.36,281.9,1029.0,,,89.0,1.39,59.0,,,,,,100.0,804.0,Clouds,overcast clouds,04n
2011-10-01,0,1317441600,2011-10-01 04:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,276.87,,274.91,275.81,268.86,281.94,1029.0,,,87.0,1.38,41.0,,,,,,100.0,804.0,Clouds,overcast clouds,04n
2011-10-01,0,1317445200,2011-10-01 05:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,276.77,,274.81,275.73,268.66,281.86,1029.0,,,87.0,1.36,32.0,,,,,,96.0,804.0,Clouds,overcast clouds,04n
2011-10-01,0,1317448800,2011-10-01 06:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,276.21,,274.26,276.21,268.46,280.92,1029.0,,,87.0,1.28,31.0,,,,,,91.0,804.0,Clouds,overcast clouds,04d
2011-10-01,0,1317452400,2011-10-01 07:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,269.48,,268.24,269.48,269.17,279.92,1030.0,,,90.0,1.05,71.0,,,,,,67.0,803.0,Clouds,broken clouds,04d
2011-10-01,0,1317456000,2011-10-01 08:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,280.66,,275.55,280.66,272.36,285.37,1030.0,,,70.0,1.06,96.0,,,,,,0.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317459600,2011-10-01 09:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,282.69,,273.85,282.43,275.26,287.12,1029.0,,,54.0,1.36,97.0,,,,,,0.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317463200,2011-10-01 10:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,284.89,,272.21,283.19,277.26,289.07,1028.0,,,41.0,1.42,94.0,,,,,,0.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317466800,2011-10-01 11:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,282.41,,268.69,282.05,278.66,282.92,1028.0,,,36.0,1.41,95.0,,,,,,1.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317470400,2011-10-01 12:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,283.68,,269.02,281.68,280.46,284.47,1027.0,,,34.0,1.39,91.0,,,,,,0.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317474000,2011-10-01 13:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,287.79,,271.88,286.17,281.66,291.51,1026.0,,,33.0,1.43,88.0,,,,,,0.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317477600,2011-10-01 14:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,288.2,,272.19,286.62,282.46,291.93,1026.0,,,33.0,1.41,85.0,,,,,,0.0,800.0,Clear,sky is clear,01d
2011-10-01,0,1317481200,2011-10-01 15:00:00 +0000 UTC,7200.0,Custom location,45.177398,6.719504,287.67,,272.14,286.07,282.46,291.47,1026.0,,,34.0,1.36,83.0,,,,,,0.0,800.0,Clear,sky is clear,01d
