,mean,std
test_loss,0.347,
test_accuracy,0.854,
test_macro_f1,0.853,
test_precision_0,0.935,
test_precision_1,0.795,
test_recall_0,0.77,
test_recall_1,0.943,
test_f1_0,0.844,
test_f1_1,0.863,
