,mean,std
test_loss,0.481,
test_accuracy,0.801,
test_macro_f1,0.8,
test_precision_0,0.78,
test_precision_1,0.827,
test_recall_0,0.852,
test_recall_1,0.746,
test_f1_0,0.815,
test_f1_1,0.785,
