,mean,std
test_loss,9.041,
test_accuracy,0.726,
test_macro_f1,0.713,
test_precision_0,0.939,
test_precision_1,0.646,
test_recall_0,0.499,
test_recall_1,0.966,
test_f1_0,0.652,
test_f1_1,0.774,
